       x         y
    0.4170    0.0209
    0.7203   -0.0426
    0.0001   -0.1184
    0.3023    0.0249
    0.1468   -0.0223
    0.0923   -0.0485
    0.1863   -0.0150
    0.3456    0.0209
    0.3968    0.0046
    0.5388   -0.0057
    0.4192   -0.0076
    0.6852   -0.0447
    0.2045   -0.0043
    0.8781   -0.0651
    0.0274   -0.0764
    0.6705   -0.0406
    0.4173    0.0097
    0.5587   -0.0141
    0.1404   -0.0373
    0.1981   -0.0193
    0.8007   -0.0483
    0.9683   -0.0561
    0.3134   -0.0045
    0.6923   -0.0482
    0.8764   -0.0548
    0.8946   -0.0515
    0.0850   -0.0474
    0.0391   -0.0757
    0.1698   -0.0036
    0.8781   -0.0731
